ultimo,variacion,anterior,apertura,minimo,maximo,fecha,cierre
36.97,,,36.97,36.97,36.97,2018-10-29,36.97
36.63,0.0,36.63,36.63,36.63,36.63,2018-10-30,36.63
35.93,0.0,35.93,35.93,35.93,35.93,2018-10-31,35.93
35.89,0.0,35.89,35.89,35.89,35.89,2018-11-01,35.89
35.66,0.0,35.66,35.66,35.66,35.66,2018-11-02,35.66
35.66,0.0,35.66,35.66,35.66,35.66,2018-11-03,35.66
35.66,0.0,35.66,35.66,35.66,35.66,2018-11-04,35.66
35.79,0.0,35.79,35.79,35.79,35.79,2018-11-05,35.79
35.65,0.0,35.65,35.65,35.65,35.65,2018-11-06,35.65
35.76,0.0,35.76,35.76,35.76,35.76,2018-11-07,35.76
35.78,0.0,35.78,35.78,35.78,35.78,2018-11-08,35.78
35.55,0.0,35.55,35.55,35.55,35.55,2018-11-09,35.55
35.55,0.0,35.55,35.55,35.55,35.55,2018-11-10,35.55
35.55,0.0,35.55,35.55,35.55,35.55,2018-11-11,35.55
35.55,0.0,35.55,35.55,35.55,35.55,2018-11-12,35.55
35.99,0.0,35.99,35.99,35.99,35.99,2018-11-13,35.99
36.06,0.0,36.06,36.06,36.06,36.06,2018-11-14,36.06
36.3,0.0,36.3,36.3,36.3,36.3,2018-11-15,36.3
36.15,0.0,36.15,36.15,36.15,36.15,2018-11-16,36.15
36.15,0.0,36.15,36.15,36.15,36.15,2018-11-17,36.15
36.15,0.0,36.15,36.15,36.15,36.15,2018-11-18,36.15
36.15,0.0,36.15,36.15,36.15,36.15,2018-11-19,36.15
36.25,0.0,36.25,36.25,36.25,36.25,2018-11-20,36.25
36.43,0.0,36.43,36.43,36.43,36.43,2018-11-21,36.43
36.49,0.0,36.49,36.49,36.49,36.49,2018-11-22,36.49
37.81,0.0,37.81,37.81,37.81,37.81,2018-11-23,37.81
37.81,0.0,37.81,37.81,37.81,37.81,2018-11-24,37.81
37.81,0.0,37.81,37.81,37.81,37.81,2018-11-25,37.81
39.17,0.0,39.17,39.17,39.17,39.17,2018-11-26,39.17
38.67,0.0,38.67,38.67,38.67,38.67,2018-11-27,38.67
38.62,0.0,38.62,38.62,38.62,38.62,2018-11-28,38.62
37.68,0.0,37.68,37.68,37.68,37.68,2018-11-29,37.68
37.68,0.0,37.68,37.68,37.68,37.68,2018-11-30,37.68
37.68,0.0,37.68,37.68,37.68,37.68,2018-12-01,37.68
37.68,0.0,37.68,37.68,37.68,37.68,2018-12-02,37.68
36.67,0.0,36.67,36.67,36.67,36.67,2018-12-03,36.67
37.48,0.0,37.48,37.48,37.48,37.48,2018-12-04,37.48
37.57,0.0,37.57,37.57,37.57,37.57,2018-12-05,37.57
37.88,0.0,37.88,37.88,37.88,37.88,2018-12-06,37.88
37.62,-0.7,37.88,37.62,37.62,37.62,2018-12-07,37.62
37.62,0.0,37.62,37.62,37.62,37.62,2018-12-08,37.62
37.62,0.0,37.62,37.62,37.62,37.62,2018-12-09,37.62
37.83,0.6,37.62,37.83,37.83,37.83,2018-12-10,37.83
37.71,-0.3,37.83,37.71,37.71,37.71,2018-12-11,37.71
37.75,0.1,37.71,37.75,37.75,37.75,2018-12-12,37.75
