Fecha,Valor
2018-01-02,18.55
2018-01-03,18.42
2018-01-04,18.61
2018-01-05,18.86
2018-01-08,19.07
2018-01-09,19.05
2018-01-10,18.72
2018-01-11,18.65
2018-01-12,18.72
2018-01-15,18.72
2018-01-16,18.83
2018-01-17,18.89
2018-01-18,18.85
2018-01-19,18.96
2018-01-22,19.07
2018-01-23,19.32
2018-01-24,19.53
2018-01-25,19.49
2018-01-26,19.52
2018-01-29,19.57
2018-01-30,19.6
2018-01-31,19.65
2018-02-01,19.47
2018-02-02,19.5
2018-02-05,19.53
2018-02-06,19.69
2018-02-07,19.62
2018-02-08,19.84
2018-02-09,20.13
2018-02-14,20.03
2018-02-15,19.74
2018-02-16,19.67
2018-02-19,19.84
2018-02-20,19.94
2018-02-21,19.92
2018-02-22,19.94
2018-02-23,19.97
2018-02-26,20.04
2018-02-27,20.16
2018-02-28,20.12
2018-03-01,20.16
2018-03-02,20.23
2018-03-05,20.29
2018-03-06,20.2
2018-03-07,20.35
2018-03-08,20.39
2018-03-09,20.27
2018-03-12,20.22
2018-03-13,20.19
2018-03-14,20.19
2018-03-15,20.27
2018-03-16,20.29
2018-03-19,20.25
2018-03-20,20.24
2018-03-21,20.28
2018-03-22,20.25
2018-03-23,20.21
2018-03-26,20.16
2018-03-27,20.16
2018-03-28,20.14
2018-04-03,20.16
2018-04-04,20.2
2018-04-05,20.18
2018-04-06,20.21
2018-04-09,20.19
2018-04-10,20.19
2018-04-11,20.16
2018-04-12,20.17
2018-04-13,20.21
2018-04-16,20.22
2018-04-17,20.18
2018-04-18,20.15
2018-04-19,20.16
2018-04-20,20.19
2018-04-23,20.25
2018-04-24,20.25
2018-04-25,20.26
2018-04-26,20.45
2018-04-27,20.69
2018-05-02,20.97
2018-05-03,21.75
2018-05-04,21.7
2018-05-07,21.83
2018-05-08,22.76
2018-05-09,22.57
2018-05-10,22.63
2018-05-11,23.23
2018-05-14,24.77
2018-05-15,24.8
2018-05-16,24.04
2018-05-17,24.33
2018-05-18,24.6
2018-05-21,24.27
2018-05-22,24.36
2018-05-23,24.44
2018-05-24,24.56
2018-05-28,24.7
2018-05-29,24.9
2018-05-30,24.91
2018-05-31,24.95
2018-06-01,24.96
2018-06-04,24.96
2018-06-05,24.97
2018-06-06,24.92
2018-06-07,24.97
2018-06-08,25.47
2018-06-11,25.43
2018-06-12,25.86
2018-06-13,25.73
2018-06-14,27.06
2018-06-15,27.88
2018-06-18,27.9
2018-06-19,27.71
2018-06-21,27.55
2018-06-22,27.2
2018-06-25,27.02
2018-06-26,27.12
2018-06-27,27.3
2018-06-28,27.81
2018-06-29,28.86
2018-07-02,28.72
2018-07-03,27.94
2018-07-04,28.03
